#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
10	0.11000000000000008	-15852.86367145147	1946.9931882950714	-13905.8704831564	176.00109433175047	9.353182039346024	0.9467242440539884
20	0.12000000000000009	-15597.068405773207	1758.4975300340918	-13838.570875739115	158.961773223613	9.353182039346024	0.9467242440539884
30	0.1300000000000001	-15719.28450574603	1757.676208376594	-13961.608297369437	158.8875287365819	9.338104855312132	0.9482528128458486
40	0.1400000000000001	-15856.482367001465	2010.3542914735945	-13846.128075527871	181.72870733241643	9.338104855312132	0.9482528128458486
50	0.1500000000000001	-15583.168041193929	1850.7588981364847	-13732.409143057444	167.3018649343523	9.268755540621425	0.9553476900854294
60	0.16000000000000011	-15641.21235625321	1804.5053247509238	-13836.707031502287	163.1207103306522	9.259385994992538	0.9563144036211378
70	0.17000000000000012	-15800.51433483221	1994.5509244332122	-13805.963410399	180.30014049923244	9.269972941278265	0.9552222268383642
80	0.18000000000000013	-15707.300429198443	2003.5983442799306	-13703.702084918514	181.11799430759405	9.313737592087405	0.9507336993498696
90	0.19000000000000014	-15713.338920367916	2055.5452949484547	-13657.793625419461	185.81380948549085	9.280801698120063	0.954107682043553
100	0.20000000000000015	-15677.510307649616	2006.0722713368252	-13671.438036312791	181.34162830484067	9.191550530129105	0.9633721934807044
110	0.21000000000000016	-15752.354323181797	2074.388836742939	-13677.965486438858	187.51719704578295	9.213042516493141	0.9611248596592532
120	0.22000000000000017	-15741.079875736315	2136.84215188702	-13604.237723849295	193.16274931380562	9.213042516493141	0.9611248596592532
130	0.23000000000000018	-15681.525285936532	2094.2782598317167	-13587.247026104815	189.31512846654843	9.213042516493141	0.9611248596592532
140	0.24000000000000019	-15675.273266812876	2052.336212760046	-13622.937054052829	185.52372014139044	9.143851675726857	0.9683976194851518
150	0.25000000000000017	-15744.902923181542	2144.840408688451	-13600.062514493091	193.88576260335438	9.118872690649829	0.9710503146708794
160	0.2600000000000002	-15677.916090570701	2148.899095435351	-13529.016995135351	194.2526531057447	9.07792748037816	0.9754301535057357
170	0.2700000000000002	-15609.166986361948	2046.6779082952557	-13562.489078066692	185.01223002224043	9.068787503428606	0.9764132407283187
180	0.2800000000000002	-15684.167622357294	2113.1273998183956	-13571.040222538899	191.01902208302937	9.068787503428606	0.9764132407283187
190	0.2900000000000002	-15705.372420617492	2228.4880041663855	-13476.884416451107	201.44720063551708	9.068787503428606	0.9764132407283187
200	0.3000000000000002	-15571.394733511788	2164.462763825914	-13406.931969685875	195.6595520538372	9.046926880064824	0.978772605669137
210	0.3100000000000002	-15576.096742003489	2145.602409430008	-13430.49433257348	193.9546446955989	9.05461970323183	0.9779410384887468
220	0.32000000000000023	-15598.745987829225	2179.339567994975	-13419.40641983425	197.00436097749179	9.05461970323183	0.9779410384887468
230	0.33000000000000024	-15609.760087745599	2219.038782488065	-13390.721305257533	200.59302540472234	8.990956507496639	0.9848656467547166
240	0.34000000000000025	-15574.60741942722	2264.642921665434	-13309.964497761786	204.715473520888	8.951677179090154	0.9891871677838155
250	0.35000000000000026	-15474.826894285943	2174.1752831720833	-13300.651611113859	196.53752843501857	8.94990665315116	0.9893828549129617
260	0.36000000000000026	-15550.21641996256	2221.0989602784507	-13329.11745968411	200.7792579749263	8.99437327984553	0.9844915171067129
270	0.3700000000000003	-15552.271059918214	2306.0676461408298	-13246.203413777384	208.46011776715022	8.99437327984553	0.9844915171067129
280	0.3800000000000003	-15534.100996964886	2321.639352226673	-13212.461644738212	209.86774329362714	8.918045162494629	0.9929176220074494
290	0.3900000000000003	-15452.56128275747	2209.028100646462	-13243.533182111009	199.6880962196994	8.985390542584463	0.9854757179149032
300	0.4000000000000003	-15540.26350757691	2252.6734555456887	-13287.59005203122	203.63347736994783	8.985390542584463	0.9854757179149032
310	0.4100000000000003	-15521.39536025239	2310.6330856887557	-13210.762274563634	208.87281687743527	8.996990468184084	0.9842051324843116
320	0.4200000000000003	-15505.531717332315	2349.0298221900875	-13156.501895142228	212.34374203712727	8.948420183318154	0.9895472065791767
330	0.4300000000000003	-15403.78081056044	2259.575873813641	-13144.204936746799	204.25743084651796	8.997868501836544	0.9841090913800135
340	0.44000000000000034	-15468.48196703532	2307.2193748142718	-13161.26259222105	208.56422984526006	8.951252708638131	0.9892340752656966
350	0.45000000000000034	-15462.954839723396	2396.3335339173586	-13066.621305806037	216.61982532288533	9.04228415693646	0.9792751523857499
360	0.46000000000000035	-15346.069859525385	2301.947881106175	-13044.12197841921	208.08770600996073	9.094839930363268	0.9736162773065453
370	0.47000000000000036	-15405.375204602162	2383.97535858047	-13021.399846021692	215.50269127418295	9.110235913202406	0.9719708995534189
380	0.48000000000000037	-15327.14211530034	2353.678672368883	-12973.463442931457	212.76398116470673	9.132398355793665	0.9696121271452856
390	0.4900000000000004	-15359.060989416652	2425.7037156152383	-12933.357273801414	219.27478279814784	9.132398355793665	0.9696121271452856
400	0.5000000000000003	-15344.426649468587	2441.6417612716855	-12902.784888196902	220.7155240877979	9.135877275084432	0.9692429012644951
410	0.5100000000000003	-15308.322425081107	2420.2877314689345	-12888.034693612173	218.78519755339022	9.135877275084432	0.9692429012644951
420	0.5200000000000004	-15257.819995156533	2390.2427345506862	-12867.577260605847	216.06923923951635	9.135877275084432	0.9692429012644951
430	0.5300000000000004	-15257.274174081409	2417.848014238725	-12839.426159842684	218.56465599990236	9.135877275084432	0.9692429012644951
440	0.5400000000000004	-15297.466298354153	2462.865120106169	-12834.601178247984	222.63403844250675	9.072848054505524	0.9759762472051894
450	0.5500000000000004	-15275.561861124828	2464.3772809544744	-12811.184580170353	222.7707322767263	9.072848054505524	0.9759762472051894
460	0.5600000000000004	-15298.829845133014	2515.750894340058	-12783.078950792955	227.41471985202782	9.10964870655132	0.972033552658414
470	0.5700000000000004	-15272.348350500251	2525.161266128096	-12747.187084372155	228.26538319421118	9.130901213821431	0.9697711089345245
480	0.5800000000000004	-15205.481741906831	2436.2871741760227	-12769.194567730809	220.23148891284356	9.130901213821431	0.9697711089345245
490	0.5900000000000004	-15318.181968034307	2553.2198978404576	-12764.96207019385	230.80178132673447	9.096655212813838	0.9734219873724501
500	0.6000000000000004	-15356.684806903602	2646.737298922593	-12709.947507981009	239.2554138450536	9.12801367419245	0.9700778846042418
510	0.6100000000000004	-15010.186804923367	2307.534232809481	-12702.652572113886	208.59269186148543	9.12801367419245	0.9700778846042418
520	0.6200000000000004	-15267.86496763306	2509.002236173247	-12758.862731459812	226.80466572869022	9.097988782041465	0.9732793046720254
530	0.6300000000000004	-15375.206136499393	2701.1427031277503	-12674.063433371643	244.17346427031157	9.097988782041465	0.9732793046720254
540	0.6400000000000005	-15172.680421894944	2534.520286144589	-12638.160135750355	229.1114045232421	9.076129311114126	0.9756234064289943
550	0.6500000000000005	-15171.62201226298	2487.236985927379	-12684.385026335602	224.83716636366594	9.151092785501449	0.9676313423166747
560	0.6600000000000005	-15166.128604719355	2479.466312607673	-12686.662292111683	224.13472579212987	9.151092785501449	0.9676313423166747
570	0.6700000000000005	-15303.49220791144	2686.286143183546	-12617.206064727894	242.83048535086553	9.151092785501449	0.9676313423166747
580	0.6800000000000005	-15175.799863199782	2560.573323541228	-12615.226539658554	231.46650423290762	9.092305171000017	0.9738877027513255
590	0.6900000000000005	-15187.083345359752	2557.17751134441	-12629.905834015342	231.15953517601613	9.099621661699135	0.9731046547759182
600	0.7000000000000005	-15155.077052826551	2547.8402857779174	-12607.236767048635	230.31548398590175	9.098732796416128	0.9731997184472796
610	0.7100000000000005	-15209.175812747857	2607.5780792812284	-12601.597733466628	235.7155629860515	9.131420972331806	0.9697159097723665
620	0.7200000000000005	-15194.656860433332	2610.3634261340794	-12584.293434299252	235.96734819883108	9.131420972331806	0.9697159097723665
630	0.7300000000000005	-15217.490702941483	2649.980055565404	-12567.510647376079	239.54854723720794	9.095897326977022	0.9735030945695694
640	0.7400000000000005	-15169.951415955855	2666.08600601466	-12503.865409941194	241.00446650870998	9.010644825789333	0.9827137088297692
650	0.7500000000000006	-15115.2012863396	2665.343651910009	-12449.85763442959	240.9373604008994	9.010644825789333	0.9827137088297692
660	0.7600000000000006	-15169.044812745704	2657.3577118424087	-12511.687100903295	240.21546049923805	9.043995750052838	0.979089822731006
670	0.7700000000000006	-15163.246649285898	2696.715082540493	-12466.531566745405	243.77322349220927	9.043995750052838	0.979089822731006
680	0.7800000000000006	-15111.958486951564	2730.2298017248318	-12381.728685226732	246.80283206409655	9.076369811288293	0.975597554948276
690	0.7900000000000006	-15007.80815944411	2572.558430722714	-12435.249728721396	232.54991427887293	9.087603881468347	0.9743915240139692
700	0.8000000000000006	-15115.59514858272	2668.9776783039406	-12446.61747027878	241.26586315376338	9.087603881468347	0.9743915240139692
710	0.8100000000000006	-15132.729920078418	2714.038409288757	-12418.69151078966	245.33918914811935	9.025036216103237	0.9811466661928258
720	0.8200000000000006	-15117.089938380577	2687.7642895245076	-12429.32564885607	242.96410439748357	9.025036216103237	0.9811466661928258
730	0.8300000000000006	-15152.822253022014	2707.0369838453425	-12445.785269176671	244.7062857834177	8.993619968861616	0.9845739787045981
740	0.8400000000000006	-15031.61380651029	2631.400009074586	-12400.213797435703	237.86897869286068	9.002595574859015	0.983592356456363
750	0.8500000000000006	-15123.498944193978	2719.5496156741897	-12403.949328519788	245.83738213654664	9.04018815678844	0.9795022008529669
760	0.8600000000000007	-15037.202969924625	2660.34792770631	-12376.855042218314	240.4857651245951	9.04018815678844	0.9795022008529669
770	0.8700000000000007	-14953.793351962513	2595.459618853008	-12358.333733109504	234.6200982921814	9.067048002508034	0.976600564290589
780	0.8800000000000007	-15080.369753644833	2774.155071287373	-12306.214682357459	250.77351648061176	9.059800395857508	0.977381819553994
790	0.8900000000000007	-14926.476368623764	2606.367928996719	-12320.108439627045	235.60616980704094	9.13280222425785	0.9695692492036607
800	0.9000000000000007	-14978.806291810706	2593.240408574959	-12385.565883235748	234.4194897642025	9.127310472109878	0.9701526230270001
810	0.9100000000000007	-15010.805577417465	2683.8894157362456	-12326.91616168122	242.61382991720728	9.068365597602586	0.9764586683668973
820	0.9200000000000007	-14983.632891655534	2663.8679911184563	-12319.764900537077	240.80396603889693	9.047473883547294	0.9787134298117942
830	0.9300000000000007	-15070.268004947995	2733.12981578793	-12337.138189160065	247.0649827751269	9.035421302006068	0.9800189609014933
840	0.9400000000000007	-15040.917762490024	2778.993468852319	-12261.924293637705	251.21089000167075	9.023318982576303	0.9813333888337165
850	0.9500000000000007	-14993.827806711763	2798.12274036053	-12195.705066351233	252.94010648761156	9.109813789141334	0.9720159380484813
860	0.9600000000000007	-14966.611027487681	2746.594124234251	-12220.01690325343	248.28210722898686	9.117645692730832	0.971180992781819
870	0.9700000000000008	-15034.376990601766	2809.720022133643	-12224.656968468124	253.98845852890912	9.080885173184507	0.9751124506944903
880	0.9800000000000008	-15030.202995645777	2855.604960098104	-12174.598035547673	258.1362898329115	9.118138377111656	0.9711285165321387
890	0.9900000000000008	-14893.387152118867	2738.433128946813	-12154.954023172053	247.54438297290815	9.118138377111656	0.9711285165321387
900	1.0000000000000007	-15046.88619593448	2880.5141628739857	-12166.372033060494	260.387991058084	9.135466416562226	0.9692864920006343
910	1.0099999999999996	-15062.965740969168	2929.1210850297607	-12133.844655939407	264.7818798209953	9.045037282203126	0.9789770809592943
920	1.0199999999999985	-14917.606718626057	2791.545374038836	-12126.06134458722	252.34553652332082	9.011230837337463	0.9826498017351364
930	1.0299999999999974	-14921.923948544563	2754.3507040622367	-12167.573244482326	248.98327380019222	8.970535707718172	0.9871076248077959
940	1.0399999999999963	-14976.11094781604	2848.187643608958	-12127.923304207081	257.4657914321246	9.016247315057232	0.98210307307248
950	1.0499999999999952	-14984.344271521812	2948.012686283644	-12036.331585238167	266.4896117814107	9.016247315057232	0.98210307307248
960	1.059999999999994	-14898.83715296693	2842.768743438606	-12056.068409528323	256.97594258941166	9.016247315057232	0.98210307307248
970	1.069999999999993	-14912.315948549802	2796.430997684746	-12115.884950865056	252.7871791101273	9.038665007966811	0.9796672614699604
980	1.0799999999999919	-15015.53489529475	2926.205887830866	-12089.329007463884	264.51835660977775	9.038665007966811	0.9796672614699604
990	1.0899999999999908	-14928.696836053095	2921.2436874354876	-12007.453148617607	264.0697917636702	9.006502677733293	0.9831656651355989
1000	1.0999999999999897	-14843.122132782184	2852.1667043047255	-11990.955428477459	257.8254840294474	9.006502677733293	0.9831656651355989
1010	1.1099999999999886	-14836.757753958602	2825.4980961297615	-12011.25965782884	255.41473896299522	9.101320589056623	0.9729230070574887
1020	1.1199999999999875	-14897.59254424796	2841.841685909354	-12055.750858338606	256.89213996460654	9.110631211535749	0.9719287270115027
1030	1.1299999999999863	-14917.136637581285	2884.7366662500185	-12032.399971331266	260.76968998721696	9.0811645971956	0.9750824468519957
1040	1.1399999999999852	-14847.411555560837	2886.646709891294	-11960.764845669542	260.94235097704825	9.108841115157055	0.9721197333176371
1050	1.1499999999999841	-14788.15525869525	2807.6305460186854	-11980.524712676564	253.79957749685238	9.136531311123981	0.9691735182823854
1060	1.159999999999983	-14860.359908893006	2882.788927378372	-11977.570981514633	260.5936214858256	9.136531311123981	0.9691735182823854
1070	1.169999999999982	-14868.65918806182	2870.6280221989996	-11998.03116586282	259.494319941012	9.123300233372992	0.9705790634082255
1080	1.1799999999999808	-14888.297599313006	2930.9618554226604	-11957.335743890346	264.94827876142904	9.165731623778498	0.9660859120866178
1090	1.1899999999999797	-14869.823460839993	2943.0052677938043	-11926.818193046189	266.03695938422356	9.165731623778498	0.9660859120866178
1100	1.1999999999999786	-14730.958051264555	2788.6660362038842	-11942.292015060671	252.08525486802336	9.165731623778498	0.9660859120866178
1110	1.2099999999999775	-14797.900890790761	2849.876741975878	-11948.024148814882	257.61847977371673	9.205551078238416	0.9619070189759552
1120	1.2199999999999764	-14735.57642304029	2812.0725377544136	-11923.503885285876	254.2011173744445	9.174802316250632	0.9651307887054109
1130	1.2299999999999753	-14758.08108975229	2839.8240950021823	-11918.256994750107	256.7097570935668	9.152004223115254	0.9675349770200485
1140	1.2399999999999742	-14765.701019193162	2846.88531383846	-11918.815705354702	257.34806556324827	9.081366333554213	0.9750607860605521
1150	1.2499999999999731	-14772.182310807691	2810.1956819115558	-11961.986628896135	254.03145644073828	8.99572156772535	0.984343960518805
1160	1.259999999999972	-14897.458586480698	2967.5339103299643	-11929.924676150733	268.2542593495187	9.06557607262274	0.9767591297854963
1170	1.269999999999971	-14868.697102785252	2964.01517460655	-11904.681928178703	267.93617845344346	8.992453416481624	0.9847017032603941
1180	1.2799999999999698	-14816.683428773473	2910.2539560335595	-11906.429472739914	263.0763600635598	8.992453416481624	0.9847017032603941
1190	1.2899999999999687	-14833.063337298056	2893.8034097494583	-11939.259927548597	261.5892905834183	9.06905878560779	0.9763840333410926
1200	1.2999999999999676	-14849.628891829674	2930.2853585896178	-11919.343533240057	264.8871259111554	9.074969382858606	0.9757481069219789
1210	1.3099999999999665	-14850.548007069472	2931.7042372087653	-11918.843769860707	265.01538737154226	9.074969382858606	0.9757481069219789
1220	1.3199999999999654	-14926.36013059728	2983.069500213724	-11943.290630383557	269.6586201028428	9.044691861903958	0.9790144684746842
1230	1.3299999999999643	-14833.527550524766	2939.820632642305	-11893.70691788246	265.74907996323697	9.114550029978625	0.9715108443724205
1240	1.3399999999999632	-14798.882280281192	2895.818421258262	-11903.06385902293	261.7714402862383	9.12431048212096	0.9704716003527397
1250	1.3499999999999621	-14928.322461168498	3019.1578934574295	-11909.164567711068	272.92087943777585	9.081865210801304	0.975007224855953
1260	1.359999999999961	-14873.155493793281	3006.793524972713	-11866.361968820569	271.8031855510619	9.085685087460527	0.9745973044916714
1270	1.36999999999996	-14873.52940935487	2965.4433419067523	-11908.086067448117	268.0652795767733	9.054441612535227	0.9779602734905541
1280	1.3799999999999588	-14878.460872776135	2935.8005951313908	-11942.660277644743	265.3856832110402	9.0533553502859	0.9780776135578919
1290	1.3899999999999577	-15030.72297387553	3106.726144200602	-11923.996829674928	280.8367304290222	9.044567479904659	0.9790279320015141
1300	1.3999999999999566	-14977.754279009403	3110.966219179759	-11866.788059829643	281.22001776709135	9.03944417836667	0.9795828173695506
1310	1.4099999999999555	-14865.062451880452	2965.6122012409755	-11899.450250639477	268.0805438456933	8.983842748662955	0.9856455019782105
1320	1.4199999999999544	-14860.94659847665	2895.476931703198	-11965.469666773453	261.7405708739797	9.002066539968414	0.9836501603697627
1330	1.4299999999999533	-14989.730203287581	3075.2036088402892	-11914.526594447292	277.98720802037707	9.002066539968414	0.9836501603697627
1340	1.4399999999999522	-14950.63721607202	3088.491937100706	-11862.145278971315	279.1884245062554	8.979347089931833	0.9861389817114672
1350	1.449999999999951	-14827.675822398565	2976.4117136949753	-11851.26410870359	269.0567804455849	9.03352808023264	0.9802243505586319
1360	1.45999999999995	-14856.36725827409	2995.174211733903	-11861.193046540186	270.752841945492	8.989071370224748	0.9850721872150195
1370	1.469999999999949	-14855.876925576944	3037.57281651511	-11818.304109061834	274.5855214250572	9.04515590149017	0.9789642425334405
1380	1.4799999999999478	-14736.25701703089	2929.4687113599825	-11806.788305670907	264.81330397538136	9.04515590149017	0.9789642425334405
1390	1.4899999999999467	-14840.42182385237	3021.8647670581827	-11818.557056794187	273.1655709543227	8.995471155988216	0.9843713622276
1400	1.4999999999999456	-14797.800115089596	3012.4971626509614	-11785.302952438635	272.31877362762964	9.011493580877776	0.9826211511140736
1410	1.5099999999999445	-14693.476457285826	2932.6695358744196	-11760.806921411406	265.1026468558247	9.069601722878264	0.9763255836651096
1420	1.5199999999999434	-14689.06155619305	2918.0635137750473	-11770.998042418003	263.78231564522895	9.015656474070704	0.9821674351907833
1430	1.5299999999999423	-14886.597327206187	3130.539073190635	-11756.058254015552	282.9893324959869	8.958165727459193	0.9884706830726069
1440	1.5399999999999412	-14700.084846514115	2970.708101137462	-11729.376745376652	268.54119463984017	8.9885215513734	0.9851324430930717
1450	1.54999999999994	-14742.411954088824	3000.884722969062	-11741.527231119762	271.2690513665746	8.988611880580578	0.9851225432071125
1460	1.559999999999939	-14738.684146469212	3018.9541633794615	-11719.72998308975	272.9024629806017	8.988611880580578	0.9851225432071125
1470	1.569999999999938	-14773.564158012814	3069.1357491703784	-11704.428408842436	277.4386956020614	8.988611880580578	0.9851225432071125
1480	1.5799999999999368	-14639.11664898742	2869.615112023282	-11769.501536964137	259.40275654959504	8.988611880580578	0.9851225432071125
1490	1.5899999999999357	-14720.472081028029	2956.650983461844	-11763.821097566184	267.27048239034053	9.073980802141913	0.975854411506911
1500	1.5999999999999346	-14705.829824708679	2935.3676639407317	-11770.462160767947	265.3465478079046	8.99887636263121	0.9839988726225924
1510	1.6099999999999335	-14816.487174717691	3050.8951342169944	-11765.592040500696	275.7898104326732	9.073010082290917	0.9759588180093108
1520	1.6199999999999324	-14724.580108516273	2966.826205513116	-11757.753903003157	268.1902854111516	9.073010082290917	0.9759588180093108
1530	1.6299999999999313	-14779.563190338473	3004.7470842745342	-11774.81610606394	271.61819476397045	9.073010082290917	0.9759588180093108
1540	1.6399999999999302	-14740.063821735588	2965.9133183385393	-11774.15050339705	268.1077637348084	9.107982864039958	0.9722113367889575
1550	1.649999999999929	-14780.182639255849	3035.014386964158	-11745.16825229169	274.35424871005995	9.071170459942664	0.9761567412718617
1560	1.659999999999928	-14780.89851179203	3027.7126114357134	-11753.185900356315	273.6941947913832	9.071170459942664	0.9761567412718617
1570	1.6699999999999269	-14803.616723071444	3059.883364726167	-11743.733358345276	276.602313740456	9.057351805234479	0.9776460477754366
1580	1.6799999999999258	-14716.339037941383	2976.8070188031047	-11739.532019138278	269.09251458787367	9.057351805234479	0.9776460477754366
1590	1.6899999999999247	-14784.040491800504	3050.6305499758428	-11733.409941824662	275.7658929807449	9.133773495062844	0.9694661467667893
1600	1.6999999999999236	-14764.637374133054	3055.254087414957	-11709.383286718097	276.1838439288325	9.133773495062844	0.9694661467667893
1610	1.7099999999999225	-14805.80070580864	3113.6873232899156	-11692.113382518724	281.46599566986845	9.048392643673044	0.9786140527280116
1620	1.7199999999999214	-14815.745432944355	3114.682571913087	-11701.062861031269	281.55596252124906	9.017251583122919	0.9819936944281773
1630	1.7299999999999203	-14738.963444051622	3071.6304029407747	-11667.333041110847	277.6642032187332	8.99470534350695	0.9844551719630616
1640	1.7399999999999192	-14755.299703530083	3062.368538288298	-11692.931165241785	276.8269643808224	8.99470534350695	0.9844551719630616
1650	1.749999999999918	-14789.23532029311	3113.632417613267	-11675.602902679842	281.4610323966361	8.994515058458623	0.9844759987779322
1660	1.759999999999917	-14698.157905585707	3041.682064384825	-11656.475841200881	274.9569824688339	9.073091697423134	0.9759500389722829
1670	1.7699999999999159	-14739.127600150872	3095.7732799775185	-11643.354320173354	279.84663138762915	9.073091697423134	0.9759500389722829
1680	1.7799999999999148	-14712.203091147287	2985.850647955595	-11726.352443191692	269.91002573128065	9.033913093781837	0.980182574680084
1690	1.7899999999999137	-14855.172197750286	3154.3656981035165	-11700.80649964677	285.14317262450396	9.029127752314677	0.9807020609968882
1700	1.7999999999999126	-14816.411052001928	3130.1289463530297	-11686.282105648897	282.95225852332624	8.96487185483123	0.9877312625419457
1710	1.8099999999999115	-14728.956292833293	3020.215996802054	-11708.74029603124	273.01652812709307	8.96487185483123	0.9877312625419457
1720	1.8199999999999104	-14823.408753091046	3096.0394780414686	-11727.369275049577	279.8706947232617	8.998576499657087	0.9840316627898471
1730	1.8299999999999093	-14786.93865028494	3073.242347794895	-11713.696302490043	277.8099171637193	8.945562083290339	0.989863366130954
1740	1.8399999999999082	-14804.906559873323	3148.1147551656936	-11656.79180470763	284.57811014545877	9.02764754769543	0.980862860331723
1750	1.849999999999907	-14664.902408098878	3003.270703823821	-11661.631704275058	271.4847353474005	9.01646520151497	0.982079340162194
1760	1.859999999999906	-14756.99180177886	3061.6351007374856	-11695.356701041375	276.7606642970095	9.01646520151497	0.982079340162194
1770	1.8699999999999048	-14785.104066446933	3123.723134400805	-11661.380932046128	282.3731964493278	9.04504205846298	0.9789765640076981
1780	1.8799999999999037	-14681.951510666388	3016.164960315776	-11665.786550350611	272.65032918040487	8.970166546971996	0.9871482485114276
1790	1.8899999999999026	-14705.627870624	3017.220023255964	-11688.407847368035	272.7457030282325	8.96475307751039	0.9877443493578413
1800	1.8999999999999015	-14785.260163440364	3091.1454213028987	-11694.114742137464	279.42828981558756	8.985481151067077	0.9854657804994267
1810	1.9099999999999004	-14764.566137361067	3143.499621212546	-11621.066516148521	284.16091884190166	9.03470230352322	0.9800969526407204
1820	1.9199999999998993	-14737.590109035697	3118.180452380775	-11619.409656654921	281.8721581781501	9.03470230352322	0.9800969526407204
1830	1.9299999999998982	-14729.142880685877	3134.849119203055	-11594.293761482822	283.37894496066656	8.985940008222732	0.985415458771859
